,image_source,writer_id
0,0001a_num3.png,0001
0,0001a_num4.png,0001
0,0001a_num5.png,0001
0,0001b_num1.png,0001
0,0001b_num2.png,0001
0,0001b_num3.png,0001
0,0001b_num4.png,0001
0,0001b_num5.png,0001
0,0001c_num1.png,0001
0,0001c_num2.png,0001
0,0001c_num3.png,0001
0,0001c_num4.png,0001
0,0001c_num5.png,0001
0,0002a_num3.png,0002
0,0002a_num4.png,0002
0,0002b_num1.png,0002
0,0002b_num2.png,0002
0,0002b_num3.png,0002
0,0002b_num4.png,0002
0,0002b_num5.png,0002
0,0002b_num6.png,0002
0,0002c_num1.png,0002
0,0002c_num2.png,0002
0,0002c_num3.png,0002
0,0002c_num4.png,0002
0,0003a_num1.png,0003
0,0003a_num3.png,0003
0,0003b_num1.png,0003
0,0003b_num2.png,0003
0,0003b_num4.png,0003
0,0003c_num1.png,0003
0,0003c_num2.png,0003
0,0003c_num3.png,0003
0,0004a_num2.png,0004
0,0004a_num3.png,0004
0,0004a_num5.png,0004
0,0004a_num6.png,0004
0,0004a_num7.png,0004
0,0004bb_num1.png,0004
0,0004b_num1.png,0004
0,0004b_num2.png,0004
0,0004b_num3.png,0004
0,0004cc_num1.png,0004
0,0004c_num1.png,0004
0,0004c_num2.png,0004
0,0004c_num3.png,0004
0,0004c_num4.png,0004
0,0005a_num2.png,0005
0,0005a_num3.png,0005
0,0005a_num4.png,0005
0,0005b_num1.png,0005
0,0005b_num2.png,0005
0,0005b_num3.png,0005
0,0005b_num5.png,0005
0,0005c_num1.png,0005
0,0005c_num2.png,0005
0,0005c_num4.png,0005
0,0005c_num5.png,0005
0,0005c_num6.png,0005
0,0006a_num3.png,0006
0,0006b_num1.png,0006
0,0006b_num2.png,0006
0,0006b_num3.png,0006
0,0006b_num4.png,0006
0,0006b_num5.png,0006
0,0006c_num1.png,0006
0,0006c_num2.png,0006
0,0006c_num4.png,0006
0,0007a_num3.png,0007
0,0007a_num4.png,0007
0,0007a_num5.png,0007
0,0007b_num1.png,0007
0,0007b_num2.png,0007
0,0007b_num3.png,0007
0,0007b_num4.png,0007
0,0007c_num1.png,0007
0,0007c_num4.png,0007
0,0007c_num5.png,0007
0,0008a_num3.png,0008
0,0008a_num4.png,0008
0,0008a_num5.png,0008
0,0008a_num6.png,0008
0,0008b_num1.png,0008
0,0008b_num2.png,0008
0,0008b_num3.png,0008
0,0008b_num4.png,0008
0,0008c_num1.png,0008
0,0008c_num2.png,0008
0,0008c_num3.png,0008
0,0008c_num4.png,0008
0,0009a_num3.png,0009
0,0009a_num5.png,0009
0,0009b_num1.png,0009
0,0009b_num2.png,0009
0,0009b_num4.png,0009
0,0009b_num5.png,0009
0,0009b_num6.png,0009
0,0009c_num1.png,0009
0,0009c_num2.png,0009
0,0009c_num3.png,0009
0,0009c_num4.png,0009
0,0011a_num3.png,0011
0,0011a_num4.png,0011
0,0011a_num6.png,0011
0,0011a_num7.png,0011
0,0011b_num1.png,0011
0,0011b_num2.png,0011
0,0011b_num3.png,0011
0,0011b_num4.png,0011
0,0011c_num1.png,0011
0,0011c_num2.png,0011
0,0011c_num3.png,0011
0,0012a_num3.png,0012
0,0012a_num4.png,0012
0,0012b_num1.png,0012
0,0012b_num3.png,0012
0,0012b_num4.png,0012
